Country,Longitude,Latitude,ClimateZone,Temperature,Precipitation,SOC_initial,TN_initial,TP_initial,NH4_N_initial,NO3_N_initial,OlsenP_initial,pH_initial,BD_initial,CEC_initial,Texture_initial,Sand_initial,Silt _initial,Clay_initial,Type_biochar,ParticleSize_biochar,BD_biochar,PyrolysisTemperature_biochar,Ash_biochar,C_biochar,N_biochar,P_biochar,CNRatio_biochar,pH_biochar,CEC_biochar,Treatment,BiocharAddition,CropType,TrialDuration,SoilDepth,SOC_T,TN_T,CNRatio_T,DOC_T,NH4_N_T,NO3_N_T,OlsenP_T,CEC_T,K_T,Ca_T,Mg_T,Na_T,pH_T,SMBC_T,SMBN_T,CropYield_T,CO2_T,CH4_T,N2O_T,GWP_T,GHGI_T
Pakistan,73.0,31.0,Subtropic,16.0,1145.0,20.3,3.39,,,,6.92,7.83,,,Loam,40.0,37.5,22.5,Wood,,,500-700,,497.1,10.3,2.06,56.31,6.58,2340.0,BPK,15.0,Wheat,157.0,,,,,,,,,23.54,,,,,7.88,,,5.0,,,,,
Pakistan,73.0,31.0,Subtropic,16.0,1145.0,20.3,3.39,,,,6.92,7.83,,,Loam,40.0,37.5,22.5,Wood,,,500-700,,497.1,10.3,2.06,56.31,6.58,2340.0,BPK,18.0,Wheat,157.0,,,,,,,,,23.54,,,,,8.03,,,5.31,,,,,
Pakistan,73.0,31.0,Subtropic,16.0,1145.0,20.3,3.39,,,,6.92,7.83,,,Loam,40.0,37.5,22.5,Wood,,,500-700,,497.1,10.3,2.06,56.31,6.58,2340.0,BPK,21.0,Wheat,157.0,,,,,,,,,23.34,,,,,7.91,,,5.43,,,,,
Pakistan,73.0,31.0,Subtropic,16.0,1145.0,20.3,3.39,,,,6.92,7.83,,,Loam,40.0,37.5,22.5,Wood,,,500-700,,497.1,10.3,2.06,56.31,6.58,2340.0,BPK,23.0,Wheat,157.0,,,,,,,,,23.54,,,,,7.97,,,5.57,,,,,
Pakistan,73.0,31.0,Subtropic,16.0,1145.0,20.3,3.39,,,,6.92,7.83,,,Loam,40.0,37.5,22.5,Wood,,,500-700,,497.1,10.3,2.06,56.31,6.58,2340.0,BPK,26.0,Wheat,157.0,,,,,,,,,23.54,,,,,7.99,,,5.8,,,,,
Kenya,34.95,0.15,Tropic,26.0,2000.0,23.3,2.1,,,,9.3,6.0,,16.2,Clay,10.7,17.5,71.6,Eucalyptus wood,2.0,,550.00 ,,868.0,27.0,0.14,32.15,6.3,18.2,B,2.5,Maize,,20.0,,,,,,,,,,,,,,,,12.8,4000.0,52.0,2.0,8.682199026000504,460.63
Kenya,34.95,0.15,Tropic,26.0,2000.0,23.3,2.1,,,,9.3,6.0,,16.2,Clay,10.7,17.5,71.6,Eucalyptus wood,2.0,,550.00 ,,868.0,27.0,0.14,32.15,6.3,18.2,BM,2.5,Maize,,20.0,,,,,,,,,,,,,,,,15.6,4400.0,50.0,3.0,8.786456678344,419.49
Kenya,34.95,0.15,Tropic,26.0,2000.0,23.3,2.1,,,,9.3,6.0,,16.2,Clay,10.7,17.5,71.6,Eucalyptus wood,2.0,,550.00 ,,868.0,27.0,0.14,32.15,6.3,18.2,BM,2.5,Maize,,20.0,,,,,,,,,,,,,,,,17.4,5000.0,46.0,2.0,8.816853240627426,387.7
Kenya,34.95,0.15,Tropic,26.0,2000.0,23.3,2.1,,,,9.3,6.0,,16.2,Clay,10.7,17.5,71.6,Eucalyptus wood,2.0,,550.00 ,,868.0,27.0,0.14,32.15,6.3,18.2,BN,2.5,Maize,,20.0,,,,,,,,,,,,,,,,19.8,4600.0,47.0,2.0,8.759668671029939,321.77
Kenya,34.95,0.15,Tropic,26.0,2000.0,23.3,2.1,,,,9.3,6.0,,16.2,Clay,10.7,17.5,71.6,Eucalyptus wood,2.0,,550.00 ,,868.0,27.0,0.14,32.15,6.3,18.2,BNPKM,2.5,Maize,,20.0,,,,,,,,,,,,,,,,17.0,4600.0,55.0,3.0,8.834919385216395,404.06
Kenya,34.95,0.15,Tropic,26.0,2000.0,23.3,2.1,,,,9.3,6.0,,16.2,Clay,10.7,17.5,71.6,Eucalyptus wood,2.0,,550.00 ,,868.0,27.0,0.14,32.15,6.3,18.2,BNPKM,2.5,Maize,,20.0,,,,,,,,,,,,,,,,16.9,4400.0,34.0,2.0,8.67368398817567,345.92
China,106.19,38.12,Temperate ,8.9,192.9,,,,,,,,,,,,,,Wheat straw,,,300.00 ,,666.0,4.9,1.0,135.92,7.78,,B,9.0,Rice,2190.0,20.0,,,,,,,29.4,,,,,,,,,4.44,,,,,
China,106.19,38.12,Temperate ,8.9,192.9,,,,,,,,,,,,,,Wheat straw,,,300.00 ,,666.0,4.9,1.0,135.92,7.78,,BN,9.0,Rice,2190.0,20.0,,,,,,,32.85,,,,,,,,,9.04,,,,,
China,106.19,38.12,Temperate ,8.9,192.9,,,,,,,,,,,,,,Wheat straw,,,300.00 ,,666.0,4.9,1.0,135.92,7.78,,B,9.0,Rice,2190.0,20.0,,,,,,,32.85,,,,,,,,,9.04,,,,,
China,106.19,38.12,Temperate ,8.9,192.9,,,,,,,,,,,,,,Wheat straw,,,300.00 ,,666.0,4.9,1.0,135.92,7.78,,B,9.0,Rice,2555.0,20.0,,,,,,,,,,,,,,,,6.85,,,,,
China,119.0,32.0,Subtropic,14.6,1145.0,15.6,1.9,,,,,5.5,1.2,31.2,Silty clay,5.2,64.7,30.1,Wheat straw,,,400.00 ,20.8,467.0,5.9,,79.2,9.4,24.1,B,40.0,Vegetable,90.0,20.0,17.1,1.52,11.25,,,,,,,,,,5.28,,,15.3,,,9.9,7.989967146282466,192.82
